,Mid-offspr,Male BD,Female BD
140,8.83,10.8,8.6
141,9.76,10.8,9.2
142,10.2,9.7,10.0
143,9.43,9.7,9.9
144,9.4,9.7,8.65
145,9.9,9.7,9.6
146,9.5,9.8,9.3
147,8.95,9.8,10.0
148,9.98,12.7,10.4
149,9.72,12.7,9.9
150,9.86,11.4,9.4
151,11.1,11.4,10.2
152,9.14,11.4,8.2
153,10.49,10.3,10.6
154,9.75,10.4,9.6
155,10.35,11.1,10.4
156,9.73,8.8,9.9
157,9.83,11.5,10.0
158,8.69,9.75,8.6
159,9.58,8.9,10.4
160,8.42,8.9,8.7
161,9.25,10.9,10.2
162,10.12,10.9,10.45
163,9.31,10.6,9.3
164,9.99,8.6,10.5
165,8.59,8.6,9.05
166,8.74,10.4,9.0
167,8.79,9.8,9.9
168,9.6,9.6,10.0
169,9.52,9.4,9.7
170,8.93,9.85,8.7
171,10.23,10.2,10.45
172,9.35,9.9,8.4
173,9.35,9.2,9.5
174,9.09,8.7,9.6
175,9.04,9.8,9.5
176,9.75,10.55,10.6
177,10.5,10.55,9.4
178,9.09,9.7,9.4
179,9.05,9.7,8.7
180,9.54,9.7,10.15
181,9.3,9.7,8.7
182,9.06,9.7,8.9
183,8.7,9.05,8.5
184,9.32,9.05,9.6
185,8.4,9.05,9.3
186,8.67,9.05,9.6
187,8.6,9.05,8.9
188,9.53,10.3,9.1
189,9.77,10.3,8.7
190,9.65,10.3,10.15
191,9.43,10.05,10.0
192,8.35,7.5,8.9
193,8.26,6.4,10.0
194,9.5,9.8,9.3
195,8.6,9.8,8.3
196,9.57,9.8,9.4
197,9.14,9.3,9.9
198,10.79,10.3,10.0
199,8.91,10.3,9.45
200,9.93,12.37,8.6
201,10.7,12.37,10.6
202,9.3,12.37,9.6
203,9.93,9.6,9.8
204,9.51,9.0,10.3
205,9.44,9.0,9.7
206,10.05,9.6,10.5
207,10.13,10.9,9.3
208,9.24,9.8,10.0
209,8.21,9.8,8.1
210,8.9,9.8,8.8
211,9.34,9.2,10.7
212,8.77,9.9,9.0
213,9.4,8.4,10.6
214,8.82,8.4,8.5
215,8.83,8.4,9.2
216,8.6,8.4,8.65
217,9.5,9.6,9.15
218,10.2,10.6,9.8
219,8.09,7.65,7.6
220,9.07,7.65,9.1
221,9.29,9.7,8.8
222,9.1,9.9,8.9
223,10.19,10.6,10.5
224,9.25,8.9,8.9
225,8.98,8.9,8.7
226,9.02,8.9,9.1
227,8.6,8.9,8.25
228,8.25,9.15,8.0
229,8.7,10.3,8.9
230,9.9,10.3,8.45
231,9.65,10.3,8.9
232,9.45,9.9,10.0
233,9.38,10.1,9.1
234,10.4,10.4,10.0
235,9.96,10.3,9.4
236,9.46,10.05,9.2
237,8.26,10.05,8.0
238,10.05,10.05,10.7
239,8.92,10.6,9.9
240,9.5,9.9,8.7
241,9.43,9.9,9.1
242,8.97,9.9,9.2
243,8.44,9.2,7.9
244,8.92,9.2,8.9
245,10.3,11.0,8.8
246,8.4,10.0,9.6
247,9.37,10.0,9.5
248,9.91,11.4,9.1
249,10.0,9.0,9.2
250,9.21,10.0,9.3
251,9.95,10.0,10.6
252,8.84,10.0,7.8
253,9.82,10.0,9.9
254,9.5,8.9,10.1
255,10.29,9.7,9.85
256,8.4,10.65,8.2
257,8.31,6.7,8.8
258,9.29,6.7,8.4
259,8.86,8.6,9.6
260,9.4,10.6,8.6
261,9.62,9.95,9.2
262,8.62,9.5,8.4
263,8.3,10.2,9.1
264,9.8,10.3,9.0
265,8.48,11.0,8.3
266,9.61,10.5,8.55
267,9.5,10.5,9.2
268,9.37,9.3,8.8
269,8.74,9.2,9.4
270,9.31,9.2,8.6
271,9.5,9.2,9.7
272,9.49,9.7,10.3
273,9.74,9.7,10.0
274,9.2,9.7,8.8
275,9.24,10.0,10.2
276,9.7,9.9,8.35
277,9.64,9.9,9.4
278,9.2,9.9,8.3
279,7.5,6.4,9.7
280,7.5,6.4,8.4
281,8.7,7.7,10.0
282,8.31,7.7,10.45
283,9.0,9.7,8.3
284,9.74,9.1,10.3
285,9.31,8.9,8.5
286,10.5,8.9,10.0
287,9.3,9.4,10.0
288,8.12,9.4,7.3
289,9.34,8.6,9.1
290,9.72,9.8,9.6
291,9.0,9.8,9.1
292,9.65,10.6,10.0
293,9.9,9.7,10.3
294,10.0,10.1,10.8
295,10.1,10.1,8.8
296,8.0,8.5,8.5
297,9.07,7.7,8.9
298,9.75,9.4,10.6
299,9.33,10.1,8.35
300,8.11,8.9,10.6
301,9.36,9.1,9.2
302,9.74,10.2,8.9
303,9.9,9.5,8.5
304,9.23,9.1,9.45
305,9.7,9.5,9.2
306,8.2,9.5,8.4
307,9.35,9.85,9.9
308,9.49,7.9,9.0
309,9.34,7.9,9.3
310,8.87,8.6,10.8
311,9.03,8.6,8.5
312,9.07,8.1,10.0
313,9.43,10.3,8.9
314,8.2,8.5,8.8
315,9.19,9.2,9.2
316,9.0,9.2,8.7
317,9.2,10.0,9.2
318,9.06,9.3,9.0
319,9.81,9.1,9.7
320,8.89,9.0,8.9
321,9.4,11.5,8.4
322,10.45,11.4,9.7
323,9.64,10.3,9.1
324,9.03,8.9,8.8
325,8.71,8.9,8.7
326,9.91,9.6,10.4
327,8.33,9.6,8.5
328,8.2,7.2,9.2
329,7.83,7.2,9.0
330,7.14,7.2,7.3
331,8.91,7.2,9.4
332,9.18,8.9,9.4
333,8.8,8.9,8.3
334,9.9,11.0,8.0
335,7.73,7.0,9.1
336,9.25,9.85,9.0
337,8.7,9.8,8.8
338,9.5,9.8,9.8
339,9.3,10.2,8.4
340,9.05,10.2,9.5
341,10.18,9.6,9.4
342,8.85,8.3,9.0
343,9.24,9.5,10.15
344,9.15,9.5,8.5
345,9.98,10.9,10.0
346,8.77,9.5,8.7
347,9.8,10.0,9.1
348,8.65,8.5,9.6
349,10.0,8.8,11.2
350,8.81,9.8,8.9
351,8.01,8.8,7.95
352,7.9,8.8,7.8
353,9.41,8.9,8.7
354,10.18,9.8,10.4
355,9.55,9.6,9.4
356,9.08,10.4,9.1
357,8.4,10.4,9.8
358,9.75,9.45,9.7
359,8.9,9.45,9.4
360,9.07,10.4,8.9
361,9.35,8.45,9.0
362,8.9,9.5,8.55
363,8.19,9.7,7.3
364,8.65,9.6,8.3
365,9.19,8.7,9.9
366,8.9,10.4,7.3
367,9.28,9.6,8.3
368,10.58,9.1,10.5
369,9.0,9.2,9.8
370,9.4,8.4,8.9
371,8.91,9.9,8.3
372,9.93,9.1,9.7
373,10.0,7.95,9.0
374,9.37,9.6,9.1
375,7.4,8.5,7.4
376,9.0,8.8,9.9
377,8.8,7.8,9.35
378,9.18,9.0,9.1
379,8.3,7.9,8.45
380,10.08,9.9,9.8
381,7.9,8.2,7.5
382,9.96,9.3,10.4
383,10.4,10.1,10.1
384,9.65,9.4,9.3
385,8.8,9.4,8.3
386,8.65,9.1,8.4
387,9.7,9.9,9.35
388,9.23,9.5,9.0
389,9.43,9.3,9.8
390,9.93,10.35,10.3
391,8.47,9.8,7.3
392,9.55,9.8,9.55
393,9.28,9.5,8.8
394,8.85,9.6,8.4
395,8.9,10.1,9.2
396,8.75,8.5,8.7
397,8.63,9.25,8.35
398,9.0,8.7,9.3
399,9.43,10.3,9.6
400,8.28,8.9,7.9
401,9.23,9.5,9.2
402,10.4,10.1,10.5
403,9.0,8.3,9.8
404,9.8,9.45,10.5
405,9.77,10.8,9.15
406,8.97,8.5,8.8
407,8.37,8.8,8.65
408,7.7,7.4,9.0
409,7.9,7.4,8.3
410,9.5,8.85,8.7
411,8.2,9.3,7.7
412,8.8,9.4,9.4
